name;class;SG_average_alpha;SG_std_alpha;SG_min_alpha;SG_peak_alpha;SG_kurtosis_alpha;SG_skewness_alpha;SG_centroid_alpha;SG_sbe_alpha;SG_sbw_alpha;SG_rms_alpha;SG_crest_factor_alpha;SG_var_coef_alpha;SG_Q1_alpha;SG_Q2_alpha;SG_Q3_alpha;SG_interquatile_range_alpha
Z011;Z;12046.544127668049;6838.296496655478;2854.449144592774;53451.46218192248;6.14000937435822;2.0989075008393354;0.9166640011183341;0.10461309581021917;6.487364217604952;155.45558478488041;343.83751639343586;1.7616293960871479;7524.180420489172;10223.756607159195;14434.917665272209;6910.737244783037
Z012;Z;13725.073960025034;9475.407022352307;2033.0481164529567;56924.244588250855;1.7291000083152177;1.395920209532444;0.9964728057172374;0.11382022511417164;6.902936776632874;187.17069939298548;304.13010568888313;1.4484943947682505;6847.133221561578;10647.410264547736;18112.824779602226;11265.69155804065
Z013;Z;9352.487319839312;4090.582767309223;1253.0931918243828;22724.201154213544;-0.28484397468164646;0.49774736727599483;1.0687114165741889;0.12186917170011473;7.282572364806379;114.55855830140317;198.3631907659509;2.2863459442947196;6205.318921765701;8854.736822343144;12125.823958398105;5920.505036632404
Z014;Z;12480.604613259124;9283.726890813074;1555.958005292607;62743.01348065203;4.063027574245333;1.8026880790612225;0.8332964436814055;0.09611855745390212;5.94434918222324;174.5642565344046;359.4264640784931;1.3443528401949862;6090.439635484704;9387.88317373893;16080.213793437575;9989.77415795287
Z015;Z;4710.610374975084;3839.3204306893354;341.4210336502892;32078.38415803389;11.462068380497858;2.785608054935565;0.7557849482983928;0.08696058902622658;5.51450374320581;68.19943294630761;470.36144982743065;1.226938584578967;2394.3302871844376;3707.169785562164;5771.804616649633;3377.4743294651958
Z016;Z;13400.324683352508;10172.242383232016;1242.7737405880212;68276.94201757216;6.164540180897738;2.222749044240226;0.7395234855286626;0.08495610678755182;5.428073250106408;188.80614474244456;361.62457588819757;1.3173422514431705;7008.500170817326;10610.30635363547;16408.785612696924;9400.285441879598
Z017;Z;7198.741695409574;4398.326826019675;1054.8602529252926;31654.81218654632;7.693843065882264;2.228736526714661;0.9654649616184952;0.10999051145770751;6.763275196887966;94.67374766502662;334.3568092238933;1.6367000407571288;4283.966424579945;6269.867502531469;8844.672609370733;4560.706184790788
Z018;Z;16835.584609653073;15615.165460325652;953.5783850135713;108987.89959286367;9.371040734641486;2.702005258897999;0.7025518520781372;0.08094396706633745;5.186296664146416;257.6952443878579;422.9332980193676;1.0781560177782432;7323.593202752998;11936.130964792763;20276.821926666937;12953.228723913939
Z019;Z;7370.540411026855;3758.138091376093;600.0143810308766;33627.46936125917;5.685110235596813;1.6525216276508088;0.9238273146421899;0.1055462767407727;6.517375718994243;92.84779931064712;362.1784211465206;1.961221283470196;4875.035222903952;6655.862007271141;9137.955390850451;4262.9201679464995
Z020;Z;4111.570821614158;2841.070813697944;447.4896161521864;23527.78889752347;9.60308050189948;2.4060314135507075;0.7409929035864202;0.08493372070647887;5.451533599532494;56.086360619638036;419.49216596673716;1.447190545828926;2121.478194477479;3466.2801887077594;5393.187886200496;3271.709691723017
Z021;Z;5593.385586204707;4538.354546031035;383.82517113508544;26924.772721721376;3.7756325482374526;1.928083480424376;0.813345995741574;0.09350974684244856;5.854964570181572;80.83523708345233;333.0821272154481;1.2324699468657283;2701.926365029535;4295.662089023247;6438.215966776048;3736.2896017465127
Z022;Z;5672.342090595429;3353.9522642197135;397.416650538002;27473.44739231123;8.537685443498887;2.118297931330784;0.8050436128859702;0.09234237981905942;5.823630508570526;73.9531989857596;371.4977549193174;1.6912411518519574;3469.2407511868505;5163.28640135637;7064.434892445219;3595.1941412583683
Z023;Z;14038.33804866188;12590.76242890529;1082.0800426462824;89603.5967254823;8.457697511284186;2.785702012108241;0.7032769138270013;0.08058009780923171;5.22505915848755;211.62744512510994;423.4025349240995;1.1149712440315223;7253.711203182002;10679.63745499817;14829.255475772585;7575.544272590583
Z024;Z;6041.025320907019;2706.0066020504805;981.6170648470516;18944.199342833454;0.33091334794560856;0.7912393631081345;0.6162680275145249;0.07019235762354342;4.709924323873872;74.28624149082927;255.01625822827688;2.2324503260004698;3918.544452504703;5560.434096036093;7517.006429433107;3598.461976928404
Z025;Z;12393.347268155467;8287.845374663168;1414.695507051402;54433.66535017426;4.140923749187364;1.7915513608661233;0.5873378307669709;0.06758197562807756;4.467805204516334;167.31824510951182;325.33012352924675;1.4953641999696639;6939.589698497995;10135.457485644876;15756.859204897173;8817.269506399178
Z026;Z;18004.45124537536;13520.873104645298;848.9241457797467;92348.52850929821;3.81382136664973;1.8686565635689414;0.7158413257036741;0.081902955023176;5.3108424532956064;252.68688975046905;365.46624401643214;1.33160418754242;9082.418795741123;13819.238390993438;22012.21666942075;12929.797873679629
Z027;Z;6640.812835325848;3040.842729198195;687.845037898313;20815.173307000754;0.9474527951664409;0.9246781933409837;0.558449267797436;0.06351681322262197;4.335221809078193;81.96816948215431;253.94215142906816;2.18387250730224;4464.383139423792;6125.463202917272;8347.619469198766;3883.2363297749735
Z028;Z;9005.833278021311;4978.306301029384;427.15656045916586;37702.07161270672;2.440585367025893;1.2646308517716174;0.3092756206875712;0.035280953157135364;2.5393439080107125;115.48199651325866;326.47575164132263;1.8090155031559911;5455.449754883107;7886.966154957603;11537.705121744119;6082.255366861012
Z029;Z;8986.671354748552;6136.754691937489;1221.5649902367197;51170.47964601511;7.587274801430187;2.2053256770793945;0.6441909167071775;0.07384644171716112;4.853533439460401;122.12436376537492;419.0030397564546;1.464401268402549;5137.639158178176;7631.084657631085;10640.349267237167;5502.71010905899
Z030;Z;11067.786144951308;7830.998048452093;623.8921209001066;60174.470591562844;9.736126056430397;2.5928903414123297;0.23613870482457627;0.02687696366345186;1.9770065424633159;152.1551394849753;395.4810254536609;1.4133302136550796;6109.834971255175;9061.745615405536;13532.973129307491;7423.138158052316
Z031;Z;6462.048114647258;3348.3521842470373;586.519063187174;22698.90345886416;1.3708816418492793;1.0578449521944986;0.9076222702469254;0.1033756973721586;6.453789237457878;81.67756859942267;277.90865776365195;1.9299188851905122;3966.0423389779994;5891.922069183024;8374.074367013445;4408.032028035446
Z032;Z;4326.5936110088305;2319.824660813372;886.1820829093788;15185.048140321636;1.6005016581203488;1.2205375795670084;0.788432328763572;0.08981346902693725;5.775053488891214;55.09437601499038;275.61884240580207;1.8650519947019832;2623.8953840032395;3871.250058795826;5387.534009461755;2763.6386254585154
Z033;Z;12066.85049691162;7203.615157390836;1629.434405967371;51381.687381168624;2.9686040180265936;1.4760780431127847;0.2905752856508736;0.03286640833311028;2.418007923091732;157.71548860661784;325.7871996917658;1.675110376285323;6735.326715523396;10691.794001880695;15254.60253497007;8519.275819446673
Z034;Z;10817.318657371781;6870.671347188962;979.9200360180363;41333.252186635655;1.8506825301419072;1.3638404872190242;0.5155801068535069;0.058937488723807344;4.021103337268934;143.81475442020147;287.4062007981959;1.5744194578303523;5898.8586086480245;9056.026458129245;13723.913237024573;7825.054628376549
Z035;Z;14701.87064079987;13021.925710250089;1201.3627975425413;97853.55778760198;7.796749582186713;2.3961517568148265;0.5718711665998059;0.06642084220439967;4.3190738002546984;220.40595404182926;443.96966594210545;1.1290089475189855;6498.088904737558;9953.768148339905;18893.69814253936;12395.609237801804
Z036;Z;13035.525900523966;8786.788039341553;1152.4617939563989;57379.57503222992;2.2214957057105176;1.3463660783642035;0.6858952238699261;0.07886842106359594;5.096373431504289;176.4228160388746;325.2389703358231;1.4835370834210764;6137.451888859258;10659.102094450162;17733.52958837992;11596.077699520662
Z037;Z;10333.28368237106;6497.574522031292;708.1127264108682;63750.95942254893;13.728471857006756;2.7036340579115086;0.6229253259711816;0.07166135548672926;4.698456228315573;136.9859184556088;465.38330465848463;1.5903293832697185;6170.1435579107165;8955.801852603203;12969.596262788256;6799.45270487754
Z038;Z;6081.804176780864;3537.399233613445;310.2757704015595;27800.460882757423;2.024436792631839;1.2068555953671734;0.12281308920391472;0.013626377453368832;1.0826800321706385;78.95853532130272;352.0893690546583;1.7192869040592613;3575.591733520044;5257.920263485317;7884.109205294638;4308.517471774594
Z039;Z;17890.199008932475;16275.872810102172;1350.9163436883578;142021.01709923358;10.940432174266727;2.8177532619317565;0.6983337323827562;0.0808800764422984;5.128166863388876;271.42762238798196;523.237155635645;1.099185230658003;7848.3754919982;13895.849827872327;21450.234670997957;13601.859178999757
Z040;Z;7761.323922140357;4083.2254210275873;906.3546388146317;26806.87251803012;1.60304166474954;1.1057031703300373;0.22333103752390598;0.025194559132914043;1.8926955387566573;98.42006234991669;272.3720334856383;1.9007826220348953;4665.993274884599;7115.492034455661;9879.986418786233;5213.9931439016345
Z041;Z;13515.066190734442;8582.341051129248;2002.9772498176985;69502.41202598215;6.9891522003998325;2.015444492691482;0.7584301281713979;0.08715530163778373;5.538549494234186;179.66999978684376;386.8337068427571;1.574752868735758;7605.050295248506;11794.39313463163;17057.415502575786;9452.36520732728
Z042;Z;6369.004248017779;3560.279574931279;351.7081702409852;20898.38104075162;0.8102931509267233;1.010877949611985;0.12626807080178148;0.014047060515023265;1.1093926988526195;81.88568378806194;255.21409938813238;1.788905650236952;3709.741873488054;5578.4520734840025;8243.649979611346;4533.908106123292
Z043;Z;5994.325244489115;2686.4876031492145;1055.262109154203;16058.869682332244;0.1306043790189766;0.5879513195016474;0.7849049200440101;0.08948517466782213;5.7486216181305165;73.71839567763178;217.8407375081408;2.231287141419269;4056.8606759711647;5723.334824579433;7593.568498466146;3536.707822494981
Z044;Z;11832.418579846271;8913.764173453843;1622.1733846544053;78703.02089682606;24.470556796167127;4.2564481684565525;0.7729035116149776;0.08841705811707165;5.654617578866672;166.25271391835759;473.393901620608;1.3274323113780033;7162.483960184059;10060.931686316377;13923.736747730372;6761.252787546314
Z045;Z;9535.164311477936;6161.589278157565;1228.7594845958681;46012.05317804717;4.969125778313171;1.9502777247913416;0.7261664679140206;0.08331433095222635;5.35603496279451;127.4060828000649;361.1448697489013;1.5475170254011374;5441.161471309986;8024.029911791485;11411.79474451362;5970.6332732036335
Z046;Z;8513.822706641404;8476.489396859606;667.9390942905571;46937.90096750588;5.688930531537007;2.4259651067214394;0.566861779387456;0.06505361946719537;4.346974937815647;134.82708843260548;348.1340546114975;1.0044043362804924;3805.616435085924;5669.664945120411;9034.383915728471;5228.7674806425475
Z047;Z;12549.2785891501;7545.667238347983;1577.296712116809;54904.71897235334;4.0020808655990425;1.6102271014728415;0.3512420873823021;0.03999504292579976;2.8611973580515433;164.33266591167927;334.10715190284765;1.6631105232646846;7078.066919295201;10851.013175339333;16026.358156059148;8948.291236763947
Z048;Z;10516.194229035214;5758.966110507074;745.4295392356044;43746.6377573587;2.7932485785585577;1.2931972061600592;0.7200806574215964;0.08235507235947376;5.339217253505755;134.55591279503915;325.1186577285184;1.8260559321314134;6329.121042031466;9148.407684348274;13871.65547895;7542.534436918535
Z049;Z;8102.996554087293;3998.807937268414;470.7210711557451;26702.66572015485;1.093519690066488;0.9889415731036396;0.23662481532181556;0.02660708984848744;2.0059608164512457;101.40636886650198;263.3233594559332;2.0263530235019114;5138.263473850464;7352.422870858856;10319.716916921372;5181.453443070908
Z050;Z;13067.544041837853;7553.307304811037;2371.499358283305;59481.767450317406;7.087498704594745;2.059333003053514;0.6587206583058918;0.07570245911556907;4.930663231458398;169.38663928286093;351.1597355148421;1.7300426838869052;7832.87974129274;11346.53177198993;16460.070946995824;8627.191205703084
Z051;Z;7419.797852244698;4957.870231721968;1312.1828909060446;45290.72154820459;12.298700402335294;2.8943033036781567;0.6064794806943048;0.06955308430340118;4.609585646108851;100.1471696668878;452.24165294787457;1.4965695965115355;4337.330566751525;6441.397154735645;8586.950923337072;4249.620356585547
Z052;Z;6137.147301134165;2981.3713262335536;197.42949301189284;16854.293649053157;0.004453019866376362;0.6714669608397017;0.5137859956109871;0.05862567914945996;4.017063275793555;76.57099567017977;220.113288348123;2.0584981304181884;3905.729633844313;5556.3856321666535;8053.298790967699;4147.569157123386
Z053;Z;4981.298851052469;2610.7151267193785;600.6195171368955;15191.637620481863;0.7505789118506216;0.920325014855688;0.64781285129911;0.07433766367083662;4.870635045158647;63.115155756709726;240.69714220529116;1.9080208330933308;3191.321239348656;4517.311675374683;6284.388153221253;3093.0669138725966
Z054;Z;14501.967910131394;11934.128326996852;1542.4254346601115;86109.20179661422;7.379309253592888;2.440919927011683;0.5671101681065183;0.06586453819943912;4.288415327036527;210.77119167061355;408.543506890557;1.2151677535866352;6911.519412697582;11195.425430522602;17197.96398741653;10286.444574718947
Z055;Z;9834.163963839723;6726.749587163506;1237.5424647633656;50950.041137471606;6.580060724540358;2.2209414528034372;0.5696947365726326;0.06511330931056215;4.386103699213607;133.7126985467569;381.04115533690543;1.4619488709087702;5694.3990193181435;8032.92215737781;11847.841569675516;6153.442550357373
Z056;Z;12854.515712630791;8304.916322960256;972.3020758436563;53105.92022846666;2.1235167761894527;1.334417995394907;0.6595088665617691;0.07600498694804285;4.919318694344897;171.74838419401422;309.2076847050623;1.547820015608399;6716.009702774215;10751.719410017207;17038.842232784533;10322.832530010317
Z057;Z;10758.520523915011;8184.455642145583;303.793573499777;62446.88815514784;7.937441666166045;2.3724885242929354;0.5309706693613959;0.061220801381655796;4.085434319420002;151.70362446323847;411.6374172080527;1.3145065468391528;5639.87602035843;8514.827195657977;13182.897070452997;7543.021050094567
Z058;Z;8289.676282957396;4878.176713000775;1413.0944923471;32025.398985404456;3.21228395343576;1.6422520521218225;0.6814590099657607;0.07799081994457285;5.097205957725159;107.94353228028409;296.68659445243946;1.6993390708591332;4866.811628338018;7134.624444623558;10177.82229230625;5311.010663968232
Z059;Z;9735.54899438952;5494.900194783466;356.6950692508574;34487.29578480629;0.7863452178499575;0.866630157452806;0.8793002624301024;0.10055286966829455;6.266316034809389;125.45877642060728;274.88946384416965;1.7717426430477985;5679.58343246423;8777.33623868051;13120.302044837837;7440.718612373607
Z060;Z;9897.066751655379;5247.747932061443;796.782420245094;32330.48434225868;0.2896400329678688;0.7357154079986765;0.3178415779784416;0.03592050712449863;2.6304768741399345;125.71748175888523;257.16776927067014;1.8859645851487326;5744.574541661117;8897.26741104758;13374.245548819647;7629.671007158529
Z061;Z;6291.317754035079;3681.3415626871874;198.35736646117337;27587.61544312271;3.1245783887823437;1.3974332776562368;0.12565341733957344;0.013948832342740532;1.1064504586717943;81.8034712419336;337.2426013748536;1.708974200547353;3654.0080449598477;5419.857861896751;8218.809121575394;4564.801076615546
Z062;Z;18508.506265469714;16462.152901511392;1656.2210771440718;121120.06550053493;11.399953916658465;2.9341240877719064;0.8317467967797245;0.09557724675138171;5.963387354290712;277.98466929705;435.70771656874336;1.124306545820653;9280.32581117429;13560.086191750624;22371.30047970559;13090.9746685313
Z063;Z;7876.319895382893;3959.273376549367;481.83072065725537;24918.17013321598;0.6466592600757917;0.8148775701442522;0.7440163152864218;0.08482840657173583;5.504323668417551;98.93148327735742;251.87300652672045;1.9893346951069484;5049.293113874557;7152.933971568826;10320.95359523947;5271.660481364914
Z064;Z;9520.727586421437;6176.242534097897;1082.0956931033675;38314.22458798607;1.6578534389555095;1.321820062230293;0.4372741696440894;0.0499518618037243;3.4777729417897536;127.35945759007481;300.83533106199343;1.5415080502197338;4936.047252850481;7963.018230299311;12280.09496440586;7344.0477115553795
Z065;Z;5957.1510506469185;3453.8850105098604;453.44247193812816;21097.86715321067;2.3341536903731894;1.3693164109364595;0.5480114547340645;0.06229814506499651;4.267337564647593;77.2781380332771;273.0121052363557;1.7247682052297182;3580.5874527074907;5183.664068697136;7494.122609123744;3913.5351564162534
Z066;Z;3059.74617417653;1565.636668432595;191.47160445791957;15412.301430872842;6.205871963104027;1.6869099886301284;0.6588007709206303;0.07529526188867285;4.963157762621607;38.57222743060441;399.5699096869952;1.9543143283937852;1977.0368437527375;2775.7495370167635;3781.8750217720512;1804.8381780193138
Z067;Z;12809.706699082091;8592.6436312276;1616.658449264259;67275.496500439;7.198937649564593;2.188314815525846;0.626936846156029;0.07231902509607396;4.708964142864568;173.10401871690544;388.6420257548234;1.490775976386212;7237.7505437543805;10278.544973291973;15909.082241466112;8671.331697711732
Z068;Z;9449.855218545297;5392.275046691838;320.435116375263;46506.52147745368;6.052540119439;1.6641179658920766;0.6989075194997388;0.08016988653724073;5.191270847282592;122.1018661681446;380.88297039957;1.752480193743601;5775.675975740199;8676.870730470837;11884.156891664734;6108.480915924535
Z069;Z;12176.797665584605;7444.566276763976;484.0920714202951;55862.70251124133;2.2622689038965724;1.358473624743844;0.6152496115226356;0.07056232090381608;4.6659427943661935;160.1699225365205;348.77148984388145;1.6356624701684632;6754.516765855629;10465.687558916245;15513.268422192554;8758.751656336924
Z070;Z;13369.421639087597;9600.069563827226;1148.9903019677047;69209.18616050557;5.501250056329594;2.0486335778468177;0.8078303688573732;0.09258258818605429;5.845790236033;184.71257902653238;374.6858309555857;1.392637996026943;7056.809920933274;10431.79180950173;16761.716605689457;9704.906684756183
Z071;Z;15379.861608650173;10072.810961235318;1107.5391026648388;74755.56823820015;4.659092157760227;1.789985643692748;0.6067559698491627;0.06983183769179162;4.592378155624568;206.32372394667988;362.32172824449015;1.526868881768829;8573.119575781995;12897.573023262245;19104.417797510258;10531.298221728262
Z072;Z;9742.149058556293;5888.299203148775;675.3979637162832;45948.564287366185;5.788747589954427;1.8619039151350087;0.6075540598804406;0.06944755955376967;4.634128842125092;127.75011807480809;359.6753175637737;1.6544928717865879;5981.120118334402;8413.350756359865;12401.591095313563;6420.470976979161
Z073;Z;5170.3014016667485;2866.9935456951057;350.8791929922409;21411.507420958245;4.204448451387253;1.6399714539484944;0.1888090325152956;0.021228916747527665;1.618352891705709;66.34736899217023;322.7182591593806;1.80338787627553;3242.7762398117547;4563.67266420112;6290.599283414319;3047.823043602564
Z074;Z;10625.798138606866;4709.301932662753;1631.7509455096156;35122.727125729245;2.4580905528736876;1.0699328478943853;0.7811216026354334;0.08923606825919478;5.712327569487865;130.4348041472144;269.2741968323746;2.2563425090475744;7482.176264799409;10232.545564903126;13180.652835334467;5698.476570535058
Z075;Z;10686.50119048717;5809.086041036629;789.1609201440783;44128.01009705286;4.318120762505726;1.6165937221400684;0.6841242928695499;0.07832903439036447;5.111231856429953;136.50310167375483;323.27477951760903;1.8396183349661952;6995.084766688351;9734.820572749606;12737.414056977716;5742.3292902893645
Z076;Z;6094.701662016461;4367.0245370553175;570.4797820688258;36049.27351413706;10.199961471123343;2.649792380608954;0.6241984761145372;0.07168438597313688;4.716072519312604;84.14355286170242;428.425854246817;1.3956188270300207;3540.8068961952013;4948.820395442239;7182.88020180505;3642.073305609849
Z077;Z;13619.010044869476;6551.0473753509295;2237.032363410345;40636.0887125324;0.9597714287410404;0.9681970073960592;0.6786693356982135;0.07782294866277731;5.068203523816;169.60231166009137;239.59631395810956;2.07890574812702;9137.462179723183;12415.646210898278;16616.55167921595;7479.089499492768
Z078;Z;6492.006387307177;3285.451230505447;1020.068420533226;21994.08759469891;0.8624398379355314;0.9452438416041439;0.5658228825828077;0.06424549182565673;4.393114449937658;81.6550592761947;269.35364188892277;1.9759862289322192;4005.4296807736364;5875.935719080735;8402.42446391964;4396.994783146004
Z079;Z;6772.994445435912;3484.8134231421095;611.3958139573488;24597.42444096558;2.240200568519896;1.2241239943852524;0.6061293746177335;0.06942384515206326;4.614170127937279;85.48084348863564;287.75364674818303;1.9435744824837675;4284.012678654136;6126.3840475432535;8376.397487566397;4092.384808912261
Z080;Z;4141.114986695085;2159.5966685303933;324.990424877645;12949.930281223345;1.0980129889208161;0.9924335236426896;0.15995918708948526;0.01790201439800748;1.3865405958452668;52.41364627017262;247.0717304129411;1.9175409218949737;2611.4005429495483;3748.1619626564993;5265.652207597887;2654.251664648339
Z081;Z;8967.451443474805;4983.882140094986;843.5661917860573;31502.014485848915;2.2416190014484414;1.3379310035198018;0.7175916595468468;0.08179339277053642;5.345301157464276;115.13559336112878;273.60795707232955;1.799290430913741;5312.556257680049;7937.597635852905;11325.434959116224;6012.878701436175
Z082;Z;11209.471157410379;10197.856887745538;555.3993060505388;75423.09485157144;11.043148365999178;3.0485553383678132;0.6114593443571946;0.0695812807852838;4.683515398606703;170.06759981036555;443.48891226590024;1.0991987121216094;5626.833870694603;8408.618485301635;12762.771547354449;7135.937676659845
Z083;Z;6199.078525226649;3631.209980921744;603.3845948895171;24071.36356762109;1.69316895078037;1.1715418736428957;0.21729176123850896;0.024597679375285803;1.837553766294336;80.62590517522226;298.55619624123784;1.7071660845273064;3468.1722379407947;5519.950696205902;7972.418353524581;4504.246115583786
Z084;Z;7230.2080498490695;4097.593210310331;657.8645986866164;29105.45510599239;2.3949337487528917;1.3520136757743066;0.6218528038309864;0.07154039054605034;4.691419158772958;93.26580913611427;312.06993619189234;1.7645011788033222;4279.62500232775;6244.890592950018;9082.58765585296;4802.96265352521
Z085;Z;11114.102262568693;6184.496013112508;1567.2039091274721;54917.97282428896;6.700469768845572;1.8472476808413283;0.7002782522043661;0.08024638077726437;5.205885148380299;142.73827135954164;384.74595706681055;1.797091022292572;6975.9681922541795;10007.174185036449;14135.272874035954;7159.304681781775
Z086;Z;10840.26934443584;6166.435824841429;678.9876090145923;42151.809721557984;3.713981142018084;1.6084413274072198;0.3142839505206938;0.035738827090788475;2.5861842293422614;139.96057840165005;301.16915922277326;1.7579473219790782;6542.284800729787;9426.996749711336;13314.355308788061;6772.070508058274
Z087;Z;6744.46456327577;3014.8428497296786;805.9400776983981;19491.994830977917;0.962736034058199;1.0029791292244792;0.6301196183498167;0.07189272024249811;4.790139999558648;82.90770539482361;235.10474374068144;2.2370866076420874;4583.991322263567;6171.45882792124;8321.994798017204;3738.003475753637
Z088;Z;9526.113940691326;5587.379590149985;1375.7209787166944;39577.30524835439;3.3982777792578007;1.5181710501266579;0.675216752966284;0.0772290994904596;5.061924288668682;123.93915459712117;319.3285074196696;1.7049340906576227;5662.853321030536;8540.500379492669;11990.716312327577;6327.862991297041
Z089;Z;6770.848261123207;4038.9666936688764;424.5369206938625;34451.75701786373;5.163057883967037;1.7523580017274507;0.39872749063123;0.0454674066256585;3.206723426847139;88.47834706987284;389.3806581926378;1.6763813060742947;3931.141620465292;5866.873644062032;8602.221683355987;4671.0800628906945
Z090;Z;10469.772486727985;6901.959086123184;855.7708322129167;55024.25299692765;11.32920826444726;2.702363850631245;0.5821958502912242;0.06630014965416317;4.4873663565226805;140.73089848075168;390.98914020259406;1.516927636933999;6256.359334335924;9327.208606394986;12917.470743827858;6661.111409491934
Z091;Z;10473.389931397322;5614.847275802201;1339.103929478806;39957.56715836546;2.672772231351434;1.3795511074843363;0.47185984270288633;0.05405003606936755;3.7105512648914494;133.36301408053376;299.6150576968539;1.8653027263152004;6431.11556768057;9424.629775126894;12990.54107449803;6559.425506817461
Z092;Z;9398.619557555527;5184.3648975470005;1104.8556162078146;37566.150393103344;4.293874851297456;1.6368385271165686;0.730611578068308;0.0836977985362441;5.392577094501327;120.4586579887732;311.85928035662266;1.812877708897866;5910.815717439485;8496.348184276576;11398.230315714209;5487.414598274724
Z093;Z;9355.191350533656;5437.028589326245;1340.2124578365506;38082.27064270688;4.498588838681626;1.8521331236017287;0.6267213319573965;0.07156185623424927;4.763889677285343;121.43188795109195;313.6101339217005;1.720644134352979;5999.122806100631;7993.350516915608;11222.81966536964;5223.696859269008
Z094;Z;14252.381844159907;9136.338347812569;2598.3148111106866;89928.36893651173;14.329120101573253;2.815425691764052;0.6612124011714409;0.07582868461140886;4.9585718788828155;189.98974738261538;473.33274650556456;1.559966509731136;8800.141649168636;11951.104595773773;17631.303979226002;8831.162330057366
Z095;Z;11477.53078224225;5753.2923583552465;2417.9517200249065;50036.06266095412;4.824910114513865;1.687565424620423;0.7080178149295144;0.08097142999267981;5.265769681381606;144.08317191983934;347.27207899609317;1.9949500333620191;7545.376883626403;10358.35161436664;13951.226172331413;6405.849288705011
Z096;Z;11042.701517467993;6826.512307323227;1091.2495952183378;49002.866230521635;3.1991751269725244;1.489917402389282;0.3063370437025937;0.03464648034504687;2.5400469160488206;145.69495023739057;336.33881030658904;1.6176198064745002;6301.972597020479;9536.371859675264;13961.94946907135;7659.976872050872
Z097;Z;9595.84298165378;5918.833433798646;1447.492986689848;39859.03115328717;2.415797632578414;1.4155426299835456;0.715506002349003;0.0817681391223634;5.316197996910508;126.52733983668112;315.0230709405286;1.6212388959719832;5190.7413446692535;7787.625741490159;12636.30078161038;7445.5594369411265
