name;class;SG_average_delta;SG_std_delta;SG_min_delta;SG_peak_delta;SG_kurtosis_delta;SG_skewness_delta;SG_centroid_delta;SG_sbe_delta;SG_sbw_delta;SG_rms_delta;SG_crest_factor_delta;SG_var_coef_delta;SG_Q1_delta;SG_Q2_delta;SG_Q3_delta;SG_interquatile_range_delta
Z014;Z;30884.666676069566;25522.26113534897;1860.354508162364;121051.33584068374;0.49892706195820846;1.1521590592648976;0.16130554977713746;0.11892811687963593;0.16983874090834894;635.8810403838236;190.3678961203436;1.2101069929612753;11605.546134187614;20748.876412632846;44297.99268266698;32692.44654847937
Z015;Z;11789.799887046853;11845.661446646367;364.6109245475286;70764.96102533877;8.66155306686071;2.6472446929883775;0.14760004639114113;0.10882325867211601;0.15899334566842238;265.24978792878545;266.7861172591694;0.9952842177829311;4383.0583916172445;8490.048618230583;15512.185638760264;11129.12724714302
Z016;Z;34731.65865441545;25185.391584529716;3696.268112955831;119518.5501935307;0.9216010214969366;1.2432305924989364;0.14932742519753928;0.11009682866934523;0.16039464073928117;680.900289743312;175.53017966637552;1.3790398508534443;16304.58442877933;27380.644033979388;44459.718391305985;28155.133962526656
Z017;Z;12671.516937660086;8422.114569055664;1464.6874371721465;60177.94269786575;7.087824533050478;2.2968875934422472;0.13129917921149892;0.09680487840027568;0.14527468585968584;241.47915061197023;249.2055423640483;1.5045529045897186;7478.022046489358;11056.374545046921;15363.600314391082;7885.578267901724
Z018;Z;45348.35765205368;46672.63126311973;1685.7048390342832;228183.6271201382;4.279254949128178;2.098819230300535;0.1478606525701733;0.10901539962549497;0.15920539539438863;1032.8127999733763;220.93415876141378;0.9716263348513526;18052.451843459276;28101.549396954997;55618.175966004106;37565.72412254483
Z019;Z;13235.791906250088;8003.520725237271;888.1050993316936;54882.05446620287;2.2814093998638025;1.292084379792084;0.12853703815157336;0.09476839400611362;0.14286060122141034;245.48442387235875;223.56634119783973;1.6537461900378476;7060.73952449619;11897.172404250163;16655.01256857618;9594.273044079991
Z020;Z;8614.257266230923;7799.998011942445;609.7537191196634;44449.12712371841;4.832384464746247;2.033123011747408;0.1206771330544838;0.08897340608820878;0.1358475658046732;184.4355520370018;241.00086253869833;1.104392238695674;3217.1588350644956;6340.211969185279;10614.500201502398;7397.341366437902
Z021;Z;12970.746930733645;9008.865177663887;404.6613023432518;47670.81114315336;0.8433134397835098;1.1485984343110174;0.14705570585655223;0.10842192471423698;0.15854969393506846;250.64145803570153;190.19523552389765;1.4397758957357516;5870.235154528731;10942.68895180511;17516.494527635125;11646.259373106393
Z022;Z;12815.319850475753;8375.70642389728;705.5519319889567;52885.23565846351;3.724739454495115;1.5959802759523047;0.14148254716310468;0.10431291997510166;0.15395019978672786;242.97944941623692;217.65312163444838;1.530058385751382;6773.058828520951;11482.038020640084;16253.748368447776;9480.689539926825
Z023;Z;31310.944064926727;25013.097219211075;1457.3834532303767;142609.82049953585;1.863462569758858;1.4966776432240187;0.12188296992454231;0.08986245118565413;0.13693733125343488;636.0358675972577;224.21663268499407;1.2517819680834508;14227.453556266752;22106.751932590916;41175.61021522613;26948.15665895938
Z024;Z;9727.185910196189;6085.557843669839;303.8204464146445;41559.72814677778;1.8924655529806227;1.1916514352581316;0.07664805906622625;0.05651144266158031;0.09254206880588461;182.1036879051537;228.22013450064568;1.5984049712573762;5003.439444677279;8079.060175193805;13546.703254433956;8543.263809756678
Z025;Z;39851.166860504156;28425.393326537982;1686.5772391712774;125519.8160105726;-0.1006564725317225;0.8263546402613016;0.14737305227718597;0.10865589938067972;0.1588084601400197;776.8888554231157;161.56727585210493;1.4019565675912409;16652.12953852106;32287.855343084117;58202.88400815153;41550.75446963047
Z026;Z;41253.215036979294;27551.819636547654;1249.2458225246078;197260.95308667785;3.987987888129762;1.3103944177873423;0.12726595900582455;0.0938312467757937;0.14174090036501413;787.32568998404;250.54555642745072;1.4972954810671255;19104.59883118716;36614.77607970279;60994.62323066145;41890.02439947429
Z027;Z;9166.638234675784;6068.851263516584;997.7326606531888;32533.580238970848;2.027136210710079;1.460450296211269;0.059458277563203564;0.04383767944294715;0.07372933934966001;174.47886578485236;186.46143813823036;1.5104404172469688;5065.571769582359;7618.868714768098;11278.244670720473;6212.672901138114
Z028;Z;74656.18733720187;27828.05106759176;13017.303194109947;150630.071322098;-0.47613901679190507;0.2155326249063165;0.19834304920442347;0.14623529922335238;0.1960912172765378;1264.507424329072;119.12153967938937;2.6827673686478763;53602.88707249675;73590.56625310652;94934.01864248762;41331.13156999087
Z029;Z;16378.951058478258;11950.654311489585;1720.0462295744169;68096.09980078888;3.136367894026103;1.5330653222366923;0.09127494312312756;0.06729562075779234;0.10769718955323679;321.7897745496632;211.61672988549026;1.3705484763902196;7129.370040207313;12999.579391120747;23569.572078600904;16440.202038393592
Z030;Z;102443.52264764451;64051.74081305314;1621.946755772167;327727.32816105604;2.833204730663816;1.5453237676014557;0.1687091824047918;0.12438670207829819;0.1754398249455835;1917.5249602571846;170.91163606918587;1.599387016609664;59139.72173182247;88668.3397630082;126648.6344242701;67508.91269244763
Z031;Z;10948.461221148735;7214.32982081951;510.7253803490652;35786.60224643671;-0.16670908641659654;0.8084380752656222;0.11877803088524885;0.08757322707972959;0.1341210450879592;208.0952104040095;171.97225335921135;1.5175992078367504;5584.597991888351;9061.189543042927;15348.026823309248;9763.428831420897
Z032;Z;7172.502577468489;4773.459882383422;852.1582242930635;25928.86579324358;1.532824518200905;1.240811700323633;0.10097197506523865;0.07444509422470218;0.11731944314886705;136.74031030237913;189.62122973032663;1.5025794191627746;3627.565367769331;5759.770555889765;9808.183959522523;6180.618591753192
Z033;Z;97091.35610022275;29252.5768963178;33137.713168254726;199859.49326350755;0.5759546094095196;0.5417929566368778;0.1793385497288459;0.1322235721749454;0.18316990429035043;1609.3590166420822;124.1857728429752;3.319070194887488;78291.39718540548;95799.34488473361;114414.36468989048;36122.967504485
Z034;Z;39932.34279956554;22648.466161298897;5110.313124798408;124161.0923045422;1.6440616806168764;1.1875825333156858;0.14754740171441488;0.10878444455644896;0.15895048221480199;728.6067275672805;170.40892927121237;1.7631367402619464;22536.05556699256;35219.668601022386;54385.80457619453;31849.749009201973
Z035;Z;55440.494455496686;52675.826754006506;1710.8625993891237;266563.3608401456;1.5175066154993164;1.4809384148043554;0.16986098870692476;0.12523591126367356;0.17629512648009002;1213.7324191566518;219.62283995459572;1.0524845621199461;18976.170551316776;37468.49011994772;74104.9507814932;55128.780230176424
Z036;Z;30412.182997127085;18857.12271768584;1946.9937597640953;91377.51161682152;0.20795085301803606;0.8502737210118338;0.12478344068123517;0.09200092395137435;0.13953801383077352;567.9278592923176;160.89633590203695;1.6127690025904062;16848.61515959107;26680.77651506663;39134.423459575824;22285.808299984754
Z037;Z;25932.509889722078;16589.355966030424;3754.901768945451;123911.78502337672;7.10432271298642;2.201322774319633;0.121962407964712;0.08992101963874856;0.1370089459888863;488.58552862102306;253.6132934045419;1.5632017266266018;15865.528024021796;21387.574036028345;32496.025622789926;16630.497598768132
Z038;Z;142940.43076978106;22707.681844531115;82703.99811700254;217097.97731329122;0.14018732143888224;0.18605497376592528;0.21718900746361705;0.16013013625564762;0.20779093839753068;2297.0578906501796;94.51132172025576;6.294805068541447;128607.42837188512;140454.77375595603;157836.20785028697;29228.779478401848
Z039;Z;52806.34029610173;45490.00833726215;2852.55889856872;261109.92852732172;2.169745523943744;1.5852568408755252;0.1619001396084673;0.11936649887612354;0.17029519589350603;1106.182583395038;236.04595881986927;1.1608338232122626;22414.064866858494;38745.5211165957;61622.700580624434;39208.635713765936
Z040;Z;88937.85895363963;33120.961039411515;16474.940441039947;189125.04985019058;-0.25768798040609253;0.30875915588583414;0.19579085188098402;0.144353603137872;0.1944221830123686;1506.23731036027;125.56125688119798;2.685243910881997;64469.37226706001;85104.79141364816;113962.6220351157;49493.249768055684
Z041;Z;31782.302373672945;27897.28127559607;1083.505891692263;165689.14919473376;4.625636511517563;2.1237795070970855;0.1389939061906393;0.10247808301596585;0.15186253769349956;671.1719602208693;246.86542200036004;1.1392616384262293;15215.33699459107;23306.997499268917;37455.62771736662;22240.290722775546
Z042;Z;144951.3235647676;24317.70940809121;87733.07104234253;218182.67129379633;-0.10520522481183381;0.3179108059557133;0.21680578781825283;0.15984759426724474;0.20756388456542052;2332.6743386691815;93.53327538136855;5.960730969033542;128173.65369478482;143151.12191279343;160974.96520875476;32801.31151396994
Z043;Z;8430.598340833893;4460.04292974023;563.9448328665907;21703.819516607393;-0.11100671679224039;0.6613150388974113;0.08535008482775833;0.06292731327661463;0.10165184919616682;151.37237129288312;143.38032318073235;1.890250491675183;5107.676857425888;7601.881623351042;11235.556457964945;6127.879600539058
Z044;Z;19699.31313135071;21265.208064797418;1001.9584587226848;151385.4887403339;13.100424692812027;3.331940603373109;0.09982708536324;0.07360098454291064;0.11620085627925725;460.0602336771958;329.05580108572155;0.9263635263442872;8124.984722770128;14219.665064756009;22725.273845166674;14600.289122396545
Z045;Z;19859.53461410249;17630.669342043988;1021.0517536371519;95530.04437694754;5.216050881360623;2.110304286511728;0.1176780243756573;0.08676220908982278;0.13311527257240158;421.47683752321467;226.65550244308693;1.1264197761762402;8376.959254144942;14925.314251592441;23578.52269553854;15201.563441393599
Z046;Z;27424.467712546353;26177.98979749258;1217.4378408093003;134531.46104200528;4.45224332449392;2.144521175181028;0.1421084300595677;0.10477437387031084;0.15447194684437288;601.7163903339389;223.5795188616075;1.0476154939587135;11765.677853703699;19815.873617405476;29082.479113897392;17316.801260193693
Z047;Z;85867.74623417393;43320.561480473494;4834.897627071629;244189.56052069349;1.1723028902732873;0.8183201192897387;0.18558900465753828;0.13683193707830713;0.18754596994520034;1526.4206242038788;159.97527591587226;1.9821475830334827;55851.63970477825;80591.03536099574;108703.89294177138;52852.25323699313
Z048;Z;19709.136154941752;11839.861324851876;347.315207637447;74966.31819886129;1.4875800990329564;1.0120439830297008;0.10467286607795377;0.07717370461366328;0.12090348106347351;364.90651788147255;205.43978944002185;1.6646424830645832;11115.593519608286;18499.33448947715;25564.90707979742;14449.313560189134
Z049;Z;88189.44567048598;21033.151046715055;29802.58230388703;146300.51517685986;0.16996655098941682;-0.2485613738756164;0.1963826456495308;0.14478992363999738;0.19481100750598565;1438.9132978557045;101.6743089349995;4.192878445774265;76038.66291871805;89364.50643253762;101826.96145426156;25788.29853554351
Z050;Z;32318.453053586392;28029.26000786511;2123.9891144411527;182221.0528954303;9.389449328212606;2.751170252890422;0.12697006777098582;0.09361309068997282;0.14147945163470563;678.9608715378515;268.3822596178455;1.1530255541715237;15646.325262228962;23944.610734020825;39857.80092422228;24211.47566199332
Z051;Z;15550.676718034358;13590.836522830437;672.7198055226659;71124.61082749012;2.2622726452011452;1.606924688308645;0.09885721803881029;0.07288591618551762;0.1152496218737636;327.77948590497545;216.9892073359021;1.1442030585763945;6659.260440364189;10436.25195178296;20237.350384612844;13578.089944248655
Z052;Z;10365.783070694362;5935.076220810694;281.0136228656024;32372.343432039466;1.2372097427284308;1.1137841565630489;0.06715188797770223;0.049510060832589624;0.08228450167606381;189.57368878613252;170.76390526198134;1.7465290562483224;6201.419191429743;9082.998859403797;13200.53616319655;6999.116971766807
Z053;Z;11559.872098623879;5619.364499216832;1144.0644837420666;27565.397616486927;-0.4573223436795453;0.5534310179808039;0.11699144647641696;0.08625600569656915;0.13248537796788862;203.99529573748268;135.12761417773214;2.05714936275;7232.868405630399;10567.274112811554;15305.479834639636;8072.611429009237
Z054;Z;51664.38516632335;41738.59758914773;1542.7600333744233;220204.55514140165;2.0477816746369726;1.4133548513870353;0.15912951846333673;0.11732376224472726;0.16815833031690322;1054.117418660359;208.89945583220884;1.237808363253594;21649.282091571928;36752.27873145773;78479.89842231483;56830.6163307429
Z055;Z;20843.376244338422;13252.070889157505;1558.1103058893952;62895.693733642445;0.23460539612268816;0.9459979700237586;0.09359123180771005;0.06900338500885252;0.11002620525031256;392.00566621692275;160.4458791134873;1.5728391749995787;10411.84347609513;18080.969674729313;26354.913607468545;15943.070131373415
Z056;Z;31199.48868735544;21148.149790714928;396.4072402630267;107880.11233225274;1.4991062763182619;1.2343976748532157;0.12510325735790143;0.09223671989984092;0.13982299724239033;598.2030888393682;180.34027965579617;1.4752821876197197;16051.544114087765;25591.3868946418;42059.39685012076;26007.85273603299
Z057;Z;37780.07478583735;33895.52673197497;2410.829868517453;152266.09366906103;1.614932279798853;1.4906180864394845;0.14579547413243374;0.10749277512212153;0.15751876236404083;805.5601463802338;189.01890113763105;1.114603560657989;13176.65428315377;23781.98035699037;49375.14882354257;36198.4945403888
Z058;Z;16081.325441014447;10227.313438398094;1118.399575034689;53727.92727032634;2.1155515827546765;1.2925772997934133;0.10260358313936645;0.0756480539245372;0.11890551952172979;302.4696700272813;177.63079275181653;1.5723900062197829;9107.463423442472;14695.782095426406;21119.824529770292;12012.36110632782
Z059;Z;13861.558807186808;9033.416664798448;846.4492830264365;43908.325404414056;-0.15940056747038467;0.7652750784247541;0.0970914229902154;0.0715840224799699;0.11350914314572093;262.59000098225;167.21248044544575;1.5344757494916332;6637.494959637295;11779.59448873368;19107.394816628977;12469.899856991682
Z060;Z;76231.13751911682;24557.923981487445;26831.624487262667;163534.24139196222;0.6636276874092588;0.8035317157874968;0.18763036875597225;0.13833700363322649;0.188948211382651;1271.0968267631354;128.6560063314801;3.1041360652709207;58451.58944755192;72767.38161982881;88987.6199932565;30536.030545704583
Z061;Z;144302.34930908037;20479.56320366306;86190.5239385945;194842.01939905528;0.13436480568482922;-0.19677926992868894;0.21697235720359617;0.15997040332964868;0.20766263012572928;2313.174431579908;84.23144261800324;7.046163430051568;131017.00582422654;145467.87919838796;156831.69545646492;25814.689632238384
Z062;Z;38090.504006269926;43802.23661391617;2944.4228686592046;263558.5305010207;8.10515172837272;2.8319469303610076;0.1333934903954171;0.0983489820322181;0.14708770056151377;921.2742281668495;286.0804334290879;0.8696018046295015;14133.081912589207;24522.647353769717;40832.46913817078;26699.387225581573
Z063;Z;16229.012209541708;8956.505437510232;1903.955683896577;48258.99153228455;0.008899057890498163;0.6581892156121135;0.11853451344465586;0.0873936853920624;0.1338987515487913;294.19224122738007;164.03896761840622;1.8119803893127675;9137.613171159745;14698.74489466098;22663.03764359896;13525.424472439216
Z064;Z;39503.16823622746;26392.190118317616;3827.2416182511442;145627.2545695124;1.1248434645488343;1.1900080312117558;0.14055562834526428;0.10362951689530459;0.15317507531577174;754.0065945133044;193.13790572814787;1.4967749193656388;18826.005063961064;32660.194744993274;52781.43196894262;33955.426904981556
Z065;Z;9883.760650998054;7533.741207790363;229.18775320389508;36006.22774816032;0.7742074227635745;1.156987986377467;0.07009604182545946;0.05168074047381379;0.08550025381665227;197.2391183860515;182.55114929933006;1.3119325947615008;4173.70943270633;7405.662833935579;14620.742459452566;10447.033026746236
Z066;Z;5407.357029682314;5206.717545568935;471.7067667501354;33013.79060763928;8.481835247454962;2.6769199542731332;0.09024061887248062;0.06653302929369;0.10665095383299417;119.13776886962337;277.1060002287556;1.038534735629001;2311.8666295451158;3787.660654092326;6358.781408716271;4046.914779171155
Z067;Z;37120.13292589528;25454.93862447255;824.595751478057;116247.94931598213;0.481112300838503;1.0217834803097525;0.14212080918875417;0.10478350081308987;0.15448225298319157;714.3470656335708;162.73315158490806;1.4582684120168232;16950.31394399433;30270.583326775824;55533.697249649;38583.38330565467
Z068;Z;19690.577560895246;16085.90933717778;1695.9337214750947;108602.23587736073;6.901217388757994;2.318076044352006;0.11328680821123141;0.0835246325156248;0.12905822919663873;403.5345486585896;269.12747926632585;1.2240885577656684;9442.330721143016;15431.887912844097;24326.007907802457;14883.67718665944
Z069;Z;32548.99877163663;22034.798776625892;3842.246808687871;116142.49682888908;2.1071720493789314;1.488426366463401;0.1279122602091994;0.09430775477666908;0.14231092412774649;623.8278031641441;186.17717299517219;1.4771634223482906;17220.786629994473;25278.781813913018;42638.84115596956;25418.054525975087
Z070;Z;26025.109742673285;20758.35883193876;2860.770166593878;128981.59548974593;4.210825272529952;1.983654034152138;0.12222049511071646;0.09011130334757046;0.13724146520077873;528.344164631999;244.12419805863453;1.253717114795757;12257.892641528179;19390.955479259166;32966.482446177506;20708.589804649328
Z071;Z;47799.79402859051;29595.535384574567;4025.464289017395;163418.99768286775;1.146423585081858;0.9884811078479283;0.1471844198820948;0.10851682359834187;0.15865468878969083;892.2724538830657;183.14921296929802;1.6151015147204992;24288.7790552176;44050.25823472708;64053.04177307473;39764.26271785713
Z072;Z;18406.272268542958;16021.165633425175;765.6441256081773;86514.28472060841;4.053566190695057;1.8803720662317704;0.08898213716271398;0.06560516996041352;0.10537278376328164;387.2881258995884;223.38481077790345;1.1488722287560464;7479.308357403393;12274.49071637054;25882.619633874187;18403.311276470795
Z073;Z;73381.27677675332;21120.773389870057;25334.930545215713;129338.4449172465;-0.18689915825703096;0.30611811465610317;0.20432994052687486;0.15064934270744762;0.19992671514264965;1211.9159477772191;106.72228973838224;3.474365044413972;58838.22275209264;72685.91860643026;86458.28576907424;27620.0630169816
Z074;Z;20697.779492497866;10751.051765306674;4037.1280299376986;64029.20504549908;2.7084757856458497;1.4579028034914245;0.11787925796547313;0.08691057554046748;0.13329958160929156;370.1668185381998;172.97391834944145;1.9251864788977193;13632.312944193976;18502.96873063137;24406.74460571424;10774.431661520264
Z075;Z;25410.465035387177;16454.170705104192;3311.2920018740647;102787.0693422081;3.5326364631081395;1.645929314017483;0.1263090937593049;0.0931257646517541;0.14089432923051914;480.4572410007587;213.93593554362891;1.544317577032593;13748.12470630374;20903.01374449335;32882.94339683402;19134.818690530283
Z076;Z;15191.402965901938;13276.45213328626;509.148523281919;80928.02169405477;9.979664360195322;2.752216714521666;0.12117269682757649;0.08933877768521278;0.13629603718763456;320.2025906719235;252.7400591114294;1.1442366389296565;6892.222394343962;12655.756710983325;19698.610968160643;12806.388573816681
Z077;Z;27790.905583563785;15286.161843655957;4030.08050696716;72840.13929625296;-0.48530448805275794;0.6110445349943973;0.10769600968164918;0.07940262219486834;0.12379521167394543;503.3893128268248;144.69941542305114;1.818043395575949;14940.691127765678;26230.446892693086;37917.26309909823;22976.571971332552
Z078;Z;9868.963431926924;7231.5033746181425;604.9099614857785;49384.26426637956;6.940978193749743;2.2247347179750334;0.06623232966556314;0.048832084541167456;0.08127354127862069;194.1792001807282;254.32314182165854;1.3647180842874256;5237.8627080750275;8481.949326733875;12322.465252576934;7084.602544501907
Z079;Z;14667.588003129724;12041.325138912442;1024.2155141570488;66225.82716980512;3.673548006430819;1.8783412854030157;0.10195802611396879;0.0751720945947123;0.118279107140303;301.18642349109126;219.88317535091022;1.2181041400277712;7696.806330416884;11000.883711326733;16798.72815173477;9101.921821317886
Z080;Z;70912.17321463805;18943.18501366466;30323.280047334712;145799.09569164197;1.6717751031574979;0.9424236930976353;0.20789314979626233;0.15327644245101996;0.20215674326569183;1164.9132213260964;125.15876120426326;3.7434134314522916;57195.64136729474;69261.15312457384;81452.16401539595;24256.522648101207
Z081;Z;16839.197236082553;10004.862994101464;1452.3997364329973;46631.99350841177;-0.3870488467243396;0.5746953767735989;0.10416104895987958;0.07679634967377794;0.12041071584108787;310.86774103261035;150.00589431863895;1.6831012324716876;8587.668150044958;14977.957780603558;24478.733600514624;15891.065450469667
Z082;Z;20129.314799374013;23691.29797241878;2055.1902710613294;145797.05686772408;9.783458901927018;3.0314128484383054;0.08473660468841522;0.06247500374469874;0.10101864458812915;493.39897404072593;295.4952574662017;0.8496501467673236;6963.0874385297275;12976.721801582127;21479.395161585442;14516.307723055714
Z083;Z;73747.31624012762;26847.966555389576;20674.735651636878;147638.9005748671;-0.5092659779460078;0.40644123717646236;0.1984485777630445;0.14631310381700185;0.1961597903080816;1245.5947524577591;118.52883956323014;2.7468492292695914;51000.29934272039;71922.2256618602;91428.10218800388;40427.802845283484
Z084;Z;18283.33287867719;12230.86746524212;1101.155344948696;56604.06235291477;0.28612638952458047;0.9368553601052544;0.12268476927637395;0.0904536055951608;0.1376591650574843;349.1170511327785;162.13491197078983;1.494851688208957;8737.699470721214;15688.908398156109;24711.610938306272;15973.911467585058
Z085;Z;21798.092950032446;16120.038401066773;449.24614914764254;91555.67977057681;3.213256871614301;1.721837948035265;0.10673438146857706;0.0786936284083743;0.12287888288707936;430.2809387181964;212.7811658199884;1.352235795455048;11060.949491421656;17590.26450510299;28034.54559906895;16973.596107647296
Z086;Z;81261.90534607098;31387.611312539386;14121.793493379644;199708.1982199242;1.2613383984817403;0.6639890352917297;0.18168622231538528;0.13395447529732918;0.18482818810058005;1382.5722936610566;144.4468395146963;2.5889802360846352;60674.29153545489;80154.67126033956;100468.89384515941;39794.602309704525
Z087;Z;11890.611758471552;8792.867243142866;1717.083849481701;46824.72412577526;2.215271912446725;1.5373612377616377;0.08595604218139147;0.0633740763735851;0.102275950785427;234.70929677261492;199.50093485704062;1.352301977235522;5688.939542539181;8949.923986821164;16093.584365578436;10404.644823039254
Z088;Z;19380.375302702465;13721.521299076003;1223.2235002740822;63871.0179468408;0.7690109980978743;1.1514145406993237;0.10655213443668757;0.07855926045674794;0.12270485336658646;376.8753589451008;169.4751764233672;1.4124071872415143;9833.321657985787;15428.909017060272;25646.93366666845;15813.612008682663
Z089;Z;34208.76674057612;22214.158758228677;675.2512049444487;119944.93631949797;2.3321421495447385;1.3997284429304409;0.1557863104910836;0.11485886609560914;0.16554615817629406;647.3562922223218;185.28426735103895;1.5399532844296586;19706.62015492762;29326.075985414245;44394.3787902179;24687.758635290284
Z090;Z;19879.396066979738;18305.595851374674;269.4598324928269;96437.84845534367;4.836730898106376;2.1724335665352523;0.08537195417419595;0.06294343721154934;0.1016743965083188;428.8950208468652;224.85187229482042;1.0859737223733625;9165.822362311541;15140.719268849482;23902.367285546323;14736.544923234782
Z091;Z;42061.35823444176;30478.676187076057;1644.4693089226864;150992.2163670705;1.3100049350552228;1.2494524059282013;0.14720642972936207;0.10853305112239127;0.1586726371499075;824.3931526808504;183.1555925422934;1.3800257588706275;19574.61013513351;35549.91470654307;53630.88125800847;34056.27112287496
Z092;Z;17791.808158672782;10655.193306355592;1880.9054499541521;69134.87454094688;5.733141824266633;1.9245968157377564;0.10744960508407152;0.07922095185047609;0.12356072510459892;329.1396241400411;210.04725493498051;1.6697780741397112;10494.988933838913;16003.424722594835;22418.86185798285;11923.872924143938
Z093;Z;14330.750673006312;10124.912623050395;1022.394582202923;53325.122815839015;2.5250790310261335;1.4115562884460164;0.07434172501053592;0.05481101780628187;0.09008131195559352;278.4828773305756;191.48438613889695;1.415394997126286;6320.032119409929;12850.425158226688;19823.066859491973;13503.034740082045
Z094;Z;33933.684014116305;38886.780454530555;2749.61557263882;227635.0826672961;10.421832333452969;3.0445854443457585;0.12243676784787924;0.09027075793173517;0.1374361349827436;819.1161613997023;277.90329796242116;0.8726277572347293;12315.13893799802;21841.151734052975;40499.5543670909;28184.415429092885
Z095;Z;20101.223623932332;12540.236053267674;797.4907249249311;69301.03764082966;2.17515476282687;1.3911360889746025;0.09617022006477444;0.07090483364029217;0.11259673013763792;376.01808448758834;184.30240592089703;1.602938217314853;11573.590886873732;17334.652839088987;24919.442149344;13345.851262470267
Z096;Z;79548.0346079686;23602.94876997369;15602.108287768793;142995.91284215305;-0.3261233122424936;0.021086255762602455;0.16925753613174804;0.12479099490158256;0.17584755613929798;1316.9108384129943;108.5843541347697;3.3702583259073555;63906.81336975726;78400.94181468667;96635.60000948334;32728.78663972608
Z097;Z;17365.482003018493;13770.115729317724;917.2474155992804;70797.33822288431;2.6088246832772937;1.5513944652563392;0.10035120581328265;0.07398741054144449;0.1167135139990278;351.74127928870945;201.27674058060674;1.261099205291785;7059.148810026336;12448.897544930323;23821.754130962137;16762.6053209358
